date,rank_ic,n_symbols
2024-12-11,0.03492513,961
2024-12-12,0.05864324,961
2024-12-13,0.08342457,961
2024-12-16,-0.07195430,961
2024-12-17,-0.04737218,960
2024-12-18,-0.03296451,960
2024-12-19,-0.01104053,960
2024-12-20,0.00441718,960
2024-12-23,-0.04855583,959
2024-12-24,-0.06098384,959
2024-12-25,-0.04761846,959
2024-12-26,-0.07441287,959
2024-12-27,-0.09249911,959
2024-12-30,-0.02398220,959
2024-12-31,-0.04975606,961
2025-01-02,0.05837741,959
2025-01-03,0.09269150,959
2025-01-06,0.27811427,959
2025-01-07,0.25134035,960
2025-01-08,0.26741165,959
2025-01-09,0.17565194,959
2025-01-10,0.18981380,959
2025-01-13,0.10141803,959
2025-01-14,0.15276656,959
2025-01-15,0.11100058,959
2025-01-16,0.03918733,960
2025-01-17,0.00024768,960
2025-01-20,-0.12204414,960
2025-01-21,-0.09826470,960
2025-01-22,-0.06935896,961
2025-01-23,-0.06503483,962
2025-01-24,-0.05867703,961
2025-01-27,-0.14425742,961
2025-02-05,-0.14882320,961
2025-02-06,-0.08935537,961
2025-02-07,-0.06056096,961
2025-02-10,-0.09907346,961
2025-02-11,-0.12943994,961
2025-02-12,-0.06862878,961
2025-02-13,-0.05744258,961
2025-02-14,-0.10972675,961
2025-02-17,-0.05244345,961
2025-02-18,-0.09405556,961
2025-02-19,0.02197815,961
2025-02-20,0.09659775,961
2025-02-21,0.23293733,961
2025-02-24,0.18439768,961
2025-02-25,0.31602359,960
2025-02-26,0.29272231,961
2025-02-27,0.28117108,960
2025-02-28,0.18028978,961
2025-03-03,0.13991781,959
2025-03-04,0.17289041,959
2025-03-05,0.14221187,959
2025-03-06,0.13148913,959
2025-03-07,0.17914987,959
2025-03-10,0.22191185,959
2025-03-11,0.22074088,960
2025-03-12,0.24243572,960
2025-03-13,0.15778949,961
2025-03-14,0.17533802,961
2025-03-17,0.19585305,962
2025-03-18,0.18328426,962
2025-03-19,0.19214304,963
2025-03-20,0.11413270,963
2025-03-21,0.06689492,963
2025-03-24,0.00427073,963
2025-03-25,0.01149284,963
2025-03-26,-0.03450969,963
2025-03-27,-0.08219798,963
2025-03-28,-0.10652100,962
2025-03-31,-0.11422080,963
2025-04-01,-0.04845525,963
2025-04-02,-0.03403160,963
